City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
270,Campechuela,CU,20.2342,-77.2789,32.98,50,41,3.17,1722100029
271,Linhares,BR,-19.3911,-40.0722,29.58,41,24,3.26,1722099824
272,Peace River,CA,56.2501,-117.286,20.3,60,71,1.81,1722100030
273,Inhambane,MZ,-23.865,35.3833,23.99,73,20,7.2,1722099925
274,Butterworth,MY,5.3991,100.3638,31.02,70,20,2.06,1722100030
275,Saint-Philippe,RE,-21.3585,55.7679,20.77,76,0,2.51,1722100030
276,Awjilah,LY,29.1081,21.2869,35.98,17,0,6.35,1722100030
277,Abu Jibeha,SD,11.4562,31.2285,22.2,93,100,1.91,1722100030
278,Kataba,GH,8.4604,-0.7732,31.1,55,96,2.07,1722100030
279,Isangel,VU,-19.55,169.2667,19.98,69,22,5.26,1722100030
280,Rémire-Montjoly,GF,4.9167,-52.2667,33.02,55,40,2.06,1722100031
281,Walvis Bay,NA,-22.9575,14.5053,14.49,85,0,9.96,1722100031
282,Tosontsengel,MN,48.7567,98.2839,11.04,87,51,1.47,1722100031
283,Keetmanshoop,NA,-26.5833,18.1333,15.52,26,44,4.23,1722100031
284,Ségou,ML,13.4317,-6.2157,32.79,53,99,3.02,1722100031
285,Daru,PG,-9.0763,143.2092,24.22,84,100,6.04,1722100091
286,Guadalupe y Calvo,MX,26.1,-106.9667,23.16,32,6,1.92,1722100092
287,Dompu,ID,-8.5356,118.4622,22.18,100,56,0.76,1722100092
288,Palmer,US,42.1584,-72.3287,29.23,48,75,2.57,1722100092
289,Goundam,ML,16.4145,-3.6708,40.01,24,32,4.91,1722100092
290,Atafu Village,TK,-8.5421,-172.5159,27.58,72,86,3.72,1722100092
291,Muang Phônsavan,LA,19.45,103.2167,19.91,99,100,0.64,1722100092
292,Puerto Aisén,CL,-45.4,-72.7,3.89,90,97,2.85,1722100092
293,Kenora,CA,49.8167,-94.4337,27.78,61,82,4.85,1722100049
294,Keflavik,IS,64.0049,-22.5624,11.24,100,100,8.23,1722100093
295,Zelenogorskiy,RU,55.0333,87.0,20.17,90,46,1.43,1722100093
296,Krasnozerskoye,RU,53.9828,79.2374,19.8,65,29,3.21,1722100093
297,Naze,JP,28.3667,129.4833,27.0,87,26,3.28,1722100093
298,Luau,AO,-10.7073,22.2247,23.18,12,0,0.75,1722100093
299,Alotau,PG,-10.3069,150.4462,20.98,95,46,1.61,1722100093
300,Creel,MX,27.75,-107.6333,24.1,35,9,0.46,1722100093
301,Mstera,RU,56.3789,41.92,15.78,92,45,1.3,1722100093
302,Sylva,RU,58.0348,56.7635,12.65,98,100,4.03,1722100094
303,Ascension,US,30.2169,-90.9001,32.78,73,40,2.06,1722100094
304,Al Ghayzah,YE,16.2079,52.176,26.23,84,73,8.02,1722100094
305,Kumul,CN,42.8,93.45,31.27,22,0,6.3,1722100094
306,Koné,NC,-21.0595,164.8658,17.09,81,10,1.88,1722100094
307,Hue,VN,16.4667,107.6,31.06,66,40,1.03,1722100094
308,Tazacorte,ES,28.629,-17.9293,26.19,79,75,4.63,1722100094
309,Oneonta,US,42.4529,-75.0638,26.83,57,1,2.46,1722100028
310,Ginir,ET,7.1333,40.7,15.3,85,95,2.29,1722100094
311,Coari,BR,-4.085,-63.1414,36.16,29,4,1.39,1722099958
312,Crane,US,31.3974,-102.3501,30.43,38,2,7.93,1722100095
313,Nuuk,GL,64.1835,-51.7216,5.34,93,100,2.06,1722100095
314,Vazante,BR,-17.9869,-46.9078,28.73,28,0,2.87,1722100095
315,Ibiá,BR,-19.4783,-46.5389,26.7,25,2,2.72,1722099822
316,Kem',RU,64.9555,34.5793,13.03,67,0,2.77,1722100095
317,Minas de Marcona,PE,-15.2119,-75.1103,15.51,60,37,6.62,1722100095
318,Mizdah,LY,31.4451,12.9801,35.81,16,0,6.55,1722100095
319,Khanty-Mansiysk,RU,61.0042,69.0019,19.06,100,40,1.0,1722100096
320,Dourbali,TD,11.8091,15.8632,23.42,85,100,0.66,1722100096
321,Gloucester Point,US,37.254,-76.4969,29.05,56,0,3.6,1722100096
322,Warman,CA,52.3168,-106.5679,17.72,63,100,9.4,1722100096
323,Horsham,GB,51.064,-0.3272,23.23,52,0,5.14,1722099370
324,St. John's,CA,47.5649,-52.7093,16.2,84,100,5.14,1722099826
325,Ust'-Kut,RU,56.7938,105.7672,18.54,96,100,1.18,1722100096
326,Don Benito,ES,38.9563,-5.8616,39.77,8,0,4.83,1722100096
327,Pitkyaranta,RU,61.5734,31.4792,21.74,64,7,2.44,1722100097
328,Abou el Hassan,DZ,36.4166,1.1962,28.48,50,32,4.92,1722100097
329,Paka,MY,4.6374,103.4368,26.21,93,100,3.14,1722100097
330,Östersund,SE,63.1792,14.6357,16.45,94,75,2.57,1722100097
331,Connell,US,46.6635,-118.8611,22.8,37,79,0.45,1722100097
332,Kosh-Agach,RU,50.0,88.6667,13.45,76,18,0.59,1722100097
333,Afaahiti,PF,-17.75,-149.2833,25.59,84,86,6.72,1722100097
334,Bagarji,PK,27.756,68.7524,36.0,59,84,5.14,1722100098
335,Rongelap,MH,11.1635,166.8941,28.26,79,36,8.45,1722100158
336,San Antonio de Palé,GQ,-1.4014,5.6325,23.4,83,99,6.61,1722100158
337,Yeosu,KR,34.7546,127.6599,24.5,97,54,1.0,1722100158
338,Vilyuysk,RU,63.7553,121.6247,12.92,65,55,1.97,1722100158
339,Kilembe,UG,0.2,30.0,18.93,63,66,2.74,1722100158
340,Mahanoro,MG,-19.9,48.8,21.04,86,4,2.18,1722100158
341,Sucúa,EC,-2.4667,-78.1667,27.41,53,40,1.54,1722100158
342,Bo`ka,UZ,40.8108,69.1986,30.43,23,0,3.53,1722100159
343,Salinópolis,BR,-0.6136,-47.3561,29.02,64,13,6.76,1722099923
344,Westport,US,41.1415,-73.3579,29.62,51,40,3.6,1722100159
345,Mek'ele,ET,13.4967,39.4753,19.94,70,100,2.96,1722099938
346,Ābādān,IR,30.3392,48.3043,41.88,8,2,7.12,1722100159
347,Port Alberni,CA,49.2413,-124.8028,20.44,68,34,0.69,1722100159
348,Aral,CN,40.5156,81.2636,34.81,17,1,3.41,1722099914
349,Kayangel,PW,8.0823,134.7173,28.04,81,94,6.94,1722100159
